SOC,V0
60.9,3.86137631189726
61.0,3.86210062758022
61.1,3.86279840554261
61.199999999999996,3.86346109739667
61.3,3.86409236238582
61.4,3.86488936558336
61.5,3.86557611788065
61.6,3.86623260690317
61.7,3.86690785902598
61.8,3.86762626423519
61.9,3.86826901658271
62.0,3.8689982090561
62.1,3.86973644462473
62.2,3.87038708436444
62.3,3.8711884396623
62.4,3.87176642647634
62.5,3.87244159398089
62.6,3.87318223808428
62.7,3.87387499396095
62.8,3.87458969276139
62.9,3.87526706519468
63.0,3.87597410321085
63.1,3.87671755232679
63.2,3.8774245469459
63.3,3.87811957600923
63.4,3.87875638028202
63.5,3.87951970738107
63.6,3.88027948831917
63.7,3.88096853437819
63.800000000000004,3.88169805376047
63.9,3.88238113241618
64.0,3.88315533091291
64.1,3.88390327881029
64.2,3.88460935213576
64.3,3.88530592406669
64.4,3.88604446544447
64.5,3.88681677240238
64.60000000000001,3.8875465482748
64.7,3.88820978335075
64.8,3.88897857170351
64.9,3.88976560511743
65.0,3.89052728541765
65.10000000000001,3.89128511076899
65.2,3.8920901476736
65.3,3.89272412151204
65.4,3.89358824334669
65.5,3.89433343203805
65.60000000000001,3.89509734186735
65.7,3.89588731368447
65.8,3.89678441513976
65.9,3.89756865713364
66.0,3.89833580893665
66.10000000000001,3.89919999451164
66.2,3.89998760540326
66.3,3.90074553854314
66.4,3.9015984483846
66.5,3.90249853714138
66.60000000000001,3.90332825004
66.7,3.90427633359354
66.8,3.90511445260874
66.9,3.90599371415573
67.0,3.90687910708294
67.10000000000001,3.90783476869971
67.2,3.90871876197312
67.30000000000001,3.90969426412552
67.4,3.91065351735963
67.5,3.91155089547222
67.60000000000001,3.91248651613731
67.7,3.91359022287318
67.80000000000001,3.91453985546967
67.9,3.91555242200732
68.0,3.9166085198066
68.10000000000001,3.91760122261698
68.2,3.91866605076935
68.30000000000001,3.91970778682572
68.4,3.9208106710558
68.5,3.92188575965582
68.60000000000001,3.92301660955936
68.7,3.92408271539188
68.8,3.92519630439564
68.89999999999999,3.92634767573517
69.0,3.92738672774984
69.1,3.9284571835904
69.19999999999999,3.92956281115536
69.3,3.93063755116689
69.39999999999999,3.93178319338915
69.5,3.93287561815176
69.6,3.93392386593656
69.69999999999999,3.93500323050822
69.8,3.93605119600616
69.89999999999999,3.93705840308961
70.0,3.93811156706193
70.1,3.93907169087815
70.19999999999999,3.94006477874928
70.3,3.94112658223077
70.39999999999999,3.94217677917058
70.5,3.94304317946833
70.6,3.94397862976769
70.7,3.94499269183517
70.8,3.94588671668219
70.89999999999999,3.94682401335333
